Tenure,City_Tier,CC_Contacted_LY,Service_Score,User_Count,CC_Score,Rev_Permonth,Complain_LY,Days_Since_CC,Cashback,Payment_Creditcard,Payment_Debitcard,Payment_Ewallet,Payment_UPI,Gender_Male,ACSegment_Regular,ACSegment_Regularplus,ACSegment_Super,ACSegment_Superplus,Maritalstatus_Married,Maritalstatus_Single,Logindevice_Mobile,Churn,Clusters
4.0,3.0,6.0,3.0,3.0,2.0,9.0,1.0,5.0,160.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,8.0,3.0,4.0,3.0,7.0,1.0,0.0,121.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,30.0,2.0,4.0,3.0,6.0,1.0,3.0,126.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2
0.0,3.0,15.0,2.0,4.0,5.0,8.0,0.0,3.0,134.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,12.0,2.0,3.0,5.0,3.0,0.0,3.0,130.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,22.0,3.0,5.0,5.0,2.0,1.0,7.0,139.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,1
2.0,3.0,11.0,2.0,3.0,2.0,4.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0
0.0,1.0,6.0,3.0,3.0,2.0,3.0,1.0,0.0,123.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
13.0,3.0,9.0,2.0,4.0,3.0,2.0,1.0,2.0,127.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0.0,1.0,31.0,2.0,5.0,3.0,2.0,0.0,1.0,123.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2
4.0,1.0,18.0,2.0,3.0,3.0,2.0,0.0,8.0,295.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
11.0,1.0,6.0,3.0,4.0,3.0,10.0,1.0,0.0,154.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,0
1.0,1.0,11.0,2.0,3.0,3.0,2.0,1.0,2.0,134.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,15.0,3.0,4.0,3.0,1.0,1.0,0.0,134.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
9.0,3.0,15.0,3.0,4.0,2.0,2.0,0.0,7.0,196.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1
4.0,2.0,12.0,3.0,3.0,5.0,5.0,1.0,2.0,121.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1,0
0.0,1.0,12.0,3.0,4.0,2.0,2.0,1.0,0.0,129.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0
99.0,3.0,11.0,2.0,4.0,3.0,2.0,1.0,3.0,157.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0
0.0,1.0,13.0,3.0,5.0,3.0,2.0,1.0,6.0,161.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0
19.0,1.0,20.0,3.0,3.0,4.0,26.0,1.0,3.0,150.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,0
0.0,3.0,12.0,3.0,5.0,3.0,5.0,1.0,7.0,162.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1
20.0,1.0,29.0,3.0,3.0,2.0,2.0,0.0,6.0,203.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,2
0.0,3.0,28.0,2.0,3.0,3.0,2.0,1.0,0.0,117.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,2
0.0,3.0,26.0,3.0,5.0,3.0,4.0,1.0,2.0,161.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,2
14.0,1.0,14.0,2.0,5.0,2.0,3.0,0.0,3.0,206.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0
0.0,1.0,15.0,2.0,3.0,5.0,8.0,0.0,4.0,142.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1,0
8.0,3.0,6.0,3.0,3.0,4.0,2.0,0.0,6.0,173.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
26.0,3.0,12.0,2.0,3.0,3.0,3.0,1.0,5.0,123.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,1
18.0,1.0,15.0,2.0,3.0,4.0,9.0,0.0,15.0,123.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1
5.0,3.0,14.0,2.0,3.0,2.0,2.0,0.0,7.0,190.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1
2.0,1.0,6.0,2.0,3.0,3.0,2.0,0.0,6.0,143.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0
0.0,1.0,13.0,2.0,4.0,3.0,3.0,0.0,0.0,1974.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0
30.0,1.0,15.0,3.0,4.0,4.0,5.0,1.0,0.0,133.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
13.0,3.0,10.0,3.0,4.0,2.0,8.0,0.0,11.0,209.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1
